hour_utc,n_bars,abs_ret_pips,signed_ret_pips,spread_pips_mean,spread_pips_p50,spread_pips_p95
0,77048,0.872,-0.007,2.148,1.999,3.133
1,77079,0.928,-0.007,2.151,2.003,3.086
2,77051,0.796,0.003,2.105,1.973,2.994
3,77113,0.696,-0.0,2.129,1.968,3.017
4,77080,0.627,0.002,2.136,1.967,3.013
5,77069,0.64,-0.003,2.121,1.972,2.987
6,77099,0.727,0.0,2.145,1.975,3.001
7,77083,0.82,0.004,2.118,1.983,2.861
8,76921,0.816,-0.01,2.055,1.988,2.819
9,76918,0.747,0.003,2.039,1.986,2.775
10,76914,0.702,0.002,2.033,1.978,2.786
11,76914,0.706,0.0,2.023,1.974,2.771
12,76915,0.804,-0.002,2.039,1.973,2.811
13,76920,0.884,-0.002,2.019,1.952,2.791
14,76945,0.966,0.007,2.006,1.924,2.803
15,76941,0.886,-0.004,2.024,1.932,2.787
16,76967,0.692,0.004,2.095,1.989,2.796
17,76962,0.592,0.002,2.158,2.045,2.843
18,76870,0.604,0.001,2.242,2.093,3.119
19,76900,0.619,-0.0,2.395,2.183,3.348
20,76806,0.607,-0.006,2.818,2.448,4.527
21,71708,0.808,-0.001,6.431,4.522,17.5
22,74749,0.807,-0.004,4.373,3.05,11.2
23,76863,0.676,0.002,2.387,2.172,3.621
