night,n_bars,high,low,open,close,spread_p50_pips,spread_p95_pips,range_pips,session_ret_pips,session_ret_abs_pips,dow,year
2018-01-01,477,1.10261,1.096965,1.098615,1.10087,2.49365079365,8.405575757574397,56.45000000000122,22.55000000000118,22.55000000000118,0,2018
2018-01-02,477,1.104275,1.101585,1.101665,1.102125,2.4099999999999997,8.000666666666397,26.89999999999859,4.60000000000127,4.60000000000127,1,2018
2018-01-03,480,1.105115,1.1025550000000002,1.1049300000000002,1.103345,2.458997509339,3.800925925924949,25.599999999998957,-15.850000000001696,15.850000000001696,2,2018
2018-01-04,480,1.099665,1.096415,1.09917,1.09714,2.3564064686675,4.154318181817196,32.49999999999975,-20.299999999999763,20.299999999999763,3,2018
2018-01-07,477,1.097865,1.0927950000000002,1.09762,1.093665,2.351351351351,6.7562105263148,50.69999999999908,-39.54999999999931,39.54999999999931,6,2018
2018-01-08,480,1.09604,1.0914350000000002,1.092485,1.09313,2.3019298245615,3.4338185653995494,46.04999999999748,6.450000000000067,6.450000000000067,0,2018
2018-01-09,480,1.09468,1.09069,1.092505,1.091115,2.327315608919,4.003068181817499,39.9000000000016,-13.900000000000023,13.900000000000023,1,2018
2018-01-10,480,1.09556,1.08814,1.08954,1.0940950000000005,2.304083508403,5.043107908351549,74.19999999999982,45.550000000005305,45.550000000005305,2,2018
2018-01-11,480,1.087865,1.084905,1.086805,1.0869,2.3031280547404998,4.9101295518207975,29.600000000000737,0.9499999999995623,0.9499999999995623,3,2018
2018-01-14,480,1.0939450000000002,1.089845,1.09169,1.09361,2.299572649572,5.2138220918859925,41.000000000002146,19.199999999999218,19.199999999999218,6,2018
2018-01-15,476,1.09367,1.09028,1.0913,1.09366,2.2613469156755,5.4282105263155,33.90000000000004,23.600000000001398,23.600000000001398,0,2018
2018-01-16,478,1.1002650000000005,1.09497,1.095205,1.09796,2.28139385091,5.481477272726298,52.950000000004934,27.55000000000063,27.55000000000063,1,2018
2018-01-17,477,1.09876,1.092315,1.095755,1.09275,2.289583333333,6.013875862068599,64.45000000000034,-30.049999999999244,30.049999999999244,2,2018
2018-01-18,480,1.0987400000000005,1.0952000000000002,1.09586,1.097785,2.3902880301050002,5.406595441595697,35.4000000000032,19.249999999999545,19.249999999999545,3,2018
2018-01-21,480,1.09958,1.096955,1.098065,1.097965,2.2889507422395,6.350499999999049,26.250000000000995,-0.9999999999998899,0.9999999999998899,6,2018
2018-01-22,480,1.094615,1.0896750000000002,1.0941200000000002,1.0900850000000002,2.159803921568,3.786567460316199,49.39999999999722,-40.35000000000011,40.35000000000011,0,2018
2018-01-23,477,1.088885,1.0864,1.08787,1.088225,2.228828828828,6.671806020066599,24.850000000000705,3.5500000000010523,3.5500000000010523,1,2018
2018-01-24,480,1.099475,1.094875,1.098795,1.09847,2.1226873214674997,3.8511333333326965,45.999999999999375,-3.249999999999087,3.249999999999087,2,2018
2018-01-25,476,1.098925,1.0954700000000002,1.09582,1.097775,2.223268398268,7.895547658862499,34.54999999999764,19.54999999999929,19.54999999999929,3,2018
2018-01-28,479,1.10538,1.101845,1.1034000000000002,1.1034800000000002,2.2062499999989997,4.887629870128999,35.350000000000655,0.8000000000008001,0.8000000000008001,6,2018
2018-01-29,480,1.10593,1.101575,1.105375,1.101915,2.2192335589934995,4.886657196968798,43.550000000001084,-34.600000000000186,34.600000000000186,0,2018
2018-01-30,480,1.1039800000000002,1.093995,1.102785,1.0945900000000002,2.0992366412205,5.4003571428562,99.85000000000132,-81.9499999999973,81.9499999999973,1,2018
2018-01-31,479,1.0944250000000002,1.09095,1.093775,1.091325,2.165517241379,5.6265714285709985,34.750000000001165,-24.499999999998412,24.499999999998412,2,2018
2018-02-01,480,1.08743,1.085505,1.0866000000000002,1.085635,2.212098013896,5.0583477011491,19.249999999999545,-9.650000000003267,9.650000000003267,3,2018
2018-02-04,480,1.0876050000000002,1.08405,1.085915,1.086405,2.182372284204,5.517631987577548,35.550000000001965,4.900000000001015,4.900000000001015,6,2018
2018-02-05,480,1.08528,1.07633,1.08467,1.076495,2.2429563492059996,4.722846153845299,89.50000000000013,-81.75000000000043,81.75000000000043,0,2018
2018-02-06,480,1.079185,1.07585,1.0768600000000002,1.077375,2.173971830985,4.990412186379999,33.350000000000875,5.149999999998212,5.149999999998212,1,2018
2018-02-07,478,1.087795,1.08034,1.080585,1.08719,2.176583063131,5.339035651664885,74.54999999999988,66.05000000000194,66.05000000000194,2,2018
2018-02-08,480,1.0795400000000002,1.07648,1.078055,1.07874,2.2192333671049997,5.654122945637999,30.600000000000627,6.850000000000467,6.850000000000467,3,2018
2018-02-11,477,1.0799,1.077035,1.07905,1.0780500000000002,2.1816091954009997,3.9832857142841998,28.650000000001175,-9.999999999998899,9.999999999998899,6,2018
